Year,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_06,rainfall_07,rainfall_08,rainfall_09,rainfall_10,rainfall_11,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino3_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11,nino34_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,nino4_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06,tsa_07,tsa_08,tsa_09,tsa_10,tsa_11,tsa_12
1950,0.01724854087675201,0.012714328795450628,0.02050018375250893,0.013569987053537432,0.014334001790961951,0.021384603085778237,0.009591127459461998,0.002443765620660928,0.0039054163643347985,0.01810499291311208,0.0104522202456442,0.022926404824055526,0.014462527776743261,0.014246232038505228,0.014566524694991746,0.014231906169543245,0.01431043206136433,0.014254697120683169,0.014269964429097415,0.014703431283742168,0.014449635637047487,0.014610083424011605,0.014178271220005478,0.014528747877617605,0.014125398461848388,0.014425014102667418,0.014838388527515062,0.014731661459341388,0.014486261290268391,0.014680612198139577,0.014758993485034462,0.014824577844148461,0.01471447704858152,0.014839627459086157,0.014655584679738246,0.014656334231805932,0.014230382523650656,0.014331914893617022,0.014533944115647394,0.014453923325169442,0.014312430823251022,0.014601065290209212,0.014715308937877985,0.014648244190189633,0.01460380164257295,0.014689008804316957,0.014610195882322857,0.014482848958066372,0.014618640649287086,0.014483443637109572,0.01446828644088756,0.014599239689486633,0.014728044937662693,0.014893448884440113,0.014719255577878822,0.014620472909123728,0.014561277826421503,0.014548559729713962,0.014555067201732596,0.014579512985628389,0.08,0.15,0.12,-0.17,-0.34,-0.23,-0.16,-0.34,-0.51,-0.54,-0.46,-0.92
1951,0.014644485153154687,0.008438523177666723,0.014653084686348601,0.019757634605132895,0.019278065761095767,0.03318943693873744,0.01339340070619749,0.006775895584559845,0.030347005847454006,0.01675447276228171,0.01174598040634283,0.013915025934694484,0.015014959095254056,0.014661966717803985,0.014722347265025337,0.01501263469056928,0.015334836626211013,0.016214717974777103,0.016495746052877916,0.016123772600456544,0.015757228490832158,0.015792528110264777,0.01566702481021903,0.015254519426041217,0.014789007785559388,0.014856728411406468,0.015123634594195523,0.015168523792407441,0.015203014844638067,0.015247674471887459,0.015673685204418843,0.015634730140688384,0.01566419091683916,0.015642098095956035,0.015733112177876787,0.015546784751636506,0.014510305744710022,0.01462695035460993,0.015057790260919962,0.015138813550964051,0.015261140523535088,0.015106254461589148,0.015373038655555865,0.015309960240480052,0.015483548729474935,0.015404714569724512,0.015417137856375693,0.015320040777506308,0.014731588203972527,0.014666983362663703,0.01497368180522923,0.015136994324292668,0.015328759471792764,0.01529910702526144,0.015205667759331715,0.014992089867598186,0.015091936639337738,0.015116075548554427,0.01522389961144022,0.015203206959785068,-0.98,-0.7,-0.87,-0.51,-0.37,-0.26,-0.11,0.05,0.05,0.03,-0.08,0.0
1952,0.01829229327312231,0.02256914526968809,0.015520019600267618,0.021471137004036252,0.018048355972605852,0.012457697124736855,0.010701903913564502,0.023937795056928633,0.0059968415211916854,0.00996175754820421,0.014784614467983691,0.02538160086876168,0.015145308058048736,0.015194809757468586,0.015155187737340859,0.014845761418899591,0.014985039945531657,0.014881639818120622,0.014810808561978658,0.01471067792311316,0.01450840385519511,0.015016322089227417,0.014810289253586703,0.01511469188001465,0.015381516110301351,0.015248149384663205,0.01526346109747026,0.015257002239610693,0.015203014844638067,0.014955551482380975,0.014888820696818052,0.014891082883416664,0.014891026421526852,0.014942975950198186,0.014740334033524424,0.014933095879861382,0.015287235501119694,0.015239716312056737,0.015247266526231316,0.01535249930141197,0.015353830551723763,0.015089780901652847,0.015010729912767203,0.01497627436896608,0.015057864655167522,0.015086623118432264,0.015002301489433037,0.01513209975681571,0.015258676792504585,0.015179814948770824,0.015134978198104228,0.015216858874016335,0.015154868422439323,0.015040960935647869,0.014936026223961087,0.014848751897900896,0.015033564169916951,0.01494104730536064,0.01506996199333291,0.01510725404068404,0.06,-0.01,-0.08,-0.08,-0.19,0.07,-0.07,-0.01,-0.04,-0.08,0.0,-0.14
1953,0.011688961785881651,0.02264992245390315,0.013107678970232092,0.00960037316274465,0.010682709649753428,0.002891251632158179,0.03328057145176346,0.0008053318522632602,0.0059541593751333815,0.017690476827213652,0.01456331338786419,0.011857787490641253,0.015077030029918188,0.015364616879999063,0.015651511478929327,0.016067512157909795,0.015847038908634353,0.015508582515558075,0.01532391709830189,0.015500561614551257,0.01546338740009403,0.015262966993108447,0.015224612186712172,0.014928255151979227,0.015280789695095215,0.01540932272659245,0.015392101480483018,0.01538971991041557,0.015376603596086974,0.015408055721028272,0.015319610990463601,0.015271975381043645,0.015445026178010475,0.015344211268633126,0.015254883681511927,0.015312139006546016,0.01539577715826516,0.015460992907801419,0.01540330580354655,0.015462081737539107,0.01545197293451177,0.01547416396683323,0.015389760597530727,0.015343894396905202,0.01539273612695602,0.015421755183186597,0.015343262886920152,0.01542255406151936,0.01517799996772927,0.01512583267654902,0.015108095465958397,0.015179588750811959,0.015233909808509069,0.015346521613149646,0.015316696626837264,0.015337162757610186,0.015198068401920985,0.015232761044016952,0.015250440580079412,0.015352467056164446,-0.15,-0.25,0.01,-0.29,-0.14,-0.1,-0.07,-0.06,0.04,0.03,-0.18,-0.41
1954,0.016609508797341625,0.014512967430639323,0.014817990784104937,0.011232960170588684,0.004029664383820804,0.013243797798918112,0.008565795347982765,0.00816439877811719,0.01231379913782065,0.012676169336506832,0.02131299633150902,0.012228764914978721,0.014102516355691281,0.014685388389877154,0.014531897457206506,0.013659769238104321,0.013729519716664687,0.013891730295850958,0.013597376212565614,0.014036740461610932,0.01409702632816173,0.014029742473703298,0.014297652404126376,0.014255751240137166,0.015185988363136501,0.015167562713698584,0.015000587271313755,0.014421986894130006,0.014480661653124878,0.014520230948998764,0.014552450193560568,0.014425547608539245,0.014343114574455133,0.014426233494638039,0.014552674750140743,0.014439738159414711,0.015418628033453681,0.015381560283687944,0.015068935923585335,0.014733358537293644,0.014786785673393055,0.014848168689253746,0.014737604860511136,0.014557753106389232,0.014484610101766873,0.014592445328031813,0.014740897751359585,0.014636618884085953,0.015323218252324836,0.015276983038770068,0.015075836187383396,0.015009211044734799,0.014980977373085881,0.014946131759871455,0.014814423178597864,0.014705413928203605,0.014635570060229775,0.0145750791605009,0.014778011338301804,0.014771418823830445,-0.43,-0.5,-0.52,-0.4,-0.61,-0.57,-0.66,-0.39,-0.25,-0.14,-0.12,-0.23
1955,0.01453797980658629,0.019370368774771666,0.01516193778799672,0.012746553956286651,0.017316836303555443,0.009273323207290749,0.015123648644318696,0.0005831713412940851,0.016347261940330357,0.015724868290856574,0.01599325882863636,0.01917616031620767,0.014766675356597517,0.014562424611493015,0.014491499013123722,0.014488175836750264,0.014041838181556968,0.014056715216229235,0.014401708512747975,0.014355592593934567,0.014398213446168314,0.014124047878128397,0.01407995730367062,0.014255751240137166,0.014789007785559388,0.014839459839056907,0.014760085685681209,0.014626593303287526,0.01441346600740272,0.014503047243733677,0.01461146256255311,0.014504144473128939,0.014337026665043228,0.013879094424044938,0.013911001071473972,0.014036628802464384,0.014784516246972258,0.014706382978723405,0.014712274718293375,0.014629255222972863,0.01470500035440305,0.014727362583054198,0.014737604860511136,0.014636932804714581,0.01455271955365606,0.014024424879295658,0.013933955777306746,0.014129747646465855,0.014887563398538136,0.014801939043218209,0.014844644690929228,0.014796238912138347,0.014870319432588236,0.014903985459526382,0.014883155334672729,0.014726649182973573,0.014800074292233808,0.014495520868140087,0.014294965709068519,0.01451554437289437,-0.42,-0.6,-0.45,-0.52,-0.34,-0.44,-0.27,-0.46,-0.41,-0.28,-0.2,-0.57
1956,0.013249265113108678,0.011696536274340856,0.011746025763044073,0.01305117660498058,0.00968632941087442,0.015895222106749804,0.012987540078736958,0.014162732574284922,0.023240428528746426,0.02230363971866392,0.016078374628682324,0.014070161948508334,0.014611498019937183,0.014755653406096662,0.014953195516926948,0.014589491751692574,0.014516562248193234,0.014591266358254853,0.01497028824218723,0.015058516612920764,0.014684708509637988,0.01435618425825172,0.014529392349772826,0.014295701967573326,0.014706056620095512,0.014925802700804715,0.014989401151051776,0.014864379130146264,0.015001427907471596,0.014949823580625946,0.01481210461712775,0.01472784324157653,0.014702301229757703,0.014632930476862099,0.014540567699599861,0.014548036195610322,0.014675974589826791,0.014819858156028369,0.014834877007612487,0.014695004684649146,0.014912189829177731,0.014870133435835481,0.014776622725119145,0.014665211268402208,0.014751372121666185,0.014700369213291679,0.014661340091945923,0.014756217715434516,0.014543342279496791,0.014607602863219717,0.014715607576629227,0.01476429309224888,0.014759661492090593,0.014824961146379372,0.01478270064502485,0.014620472909123728,0.014614343707713124,0.014750107403694687,0.014873558825402892,0.014973986097488168,-0.5,-0.69,-0.57,-0.73,-0.45,-0.43,-0.26,-0.19,-0.19,-0.44,-0.43,-0.49
1957,0.021838921313849954,0.010576425986558675,0.012570556251825746,0.015440560505673597,0.004761184052871215,0.010952114477576144,0.0013671094819723117,0.009747292418772565,0.003777369926159887,0.018559623458936164,0.008026419944334267,0.010589719203814997,0.014145966009956176,0.015165532667377123,0.01568613871671457,0.015864880328025178,0.01646542946912107,0.016359904704709986,0.016384803666645867,0.016051306206746625,0.015977609308885754,0.015807036634022484,0.01575831630395854,0.015607417518393982,0.014771232535817127,0.015029414134902087,0.015319391698780155,0.015395249813365774,0.015555791984679395,0.015660083398249553,0.015933339627986026,0.01582819934583225,0.015627663460367713,0.015605622157916497,0.01584812915801517,0.015973960338852525,0.014904483341711988,0.015052482269503547,0.015286276345560125,0.015418248763088253,0.01549559177130644,0.015529075833287572,0.015685181572419944,0.01567192457568165,0.015568685544336417,0.015558080090883273,0.015763781943820925,0.015872473474687763,0.01506505241304383,0.015109637994882479,0.01511884855881673,0.015254128997220714,0.015307681768840831,0.01511998524879488,0.015068203447181983,0.0152575305522228,0.015320119928891719,0.015407789287210741,0.01540968639191456,0.015448419975265474,-0.37,-0.11,-0.07,-0.03,-0.26,-0.11,-0.31,-0.21,-0.35,-0.38,-0.26,-0.16
1958,0.019602309035913604,0.009725572979493363,0.011067554960846581,0.016511499504988196,0.005278292784441334,0.009379913129213633,0.009057100318066563,0.016995279089141908,0.007234623756882496,0.011860508651351857,0.012639696306825437,0.018899613508974282,0.015281864114309832,0.015499291494419786,0.015599570622251464,0.01573972537427291,0.015522227705146382,0.0155349801028186,0.015420991686254933,0.014964310301097869,0.015243006582040433,0.015299238302502717,0.01511927584778197,0.015014815061424245,0.015944399018806215,0.015748937982800502,0.01548159044257885,0.015362070395664555,0.01531500758750833,0.015299225587682722,0.015195685015579264,0.015169194865810967,0.01504322415682455,0.015076721056343168,0.015230669580430163,0.015029360800924147,0.016127005164297794,0.01602836879432624,0.015720957189509704,0.015489477346570892,0.015446520579912434,0.015463181593542364,0.015255985061731836,0.015185535000254505,0.015120298319399275,0.01521726782164158,0.015371676336710745,0.01529156486528046,0.015667439371366183,0.015757425261544108,0.015645750108875065,0.015461776826502254,0.015365645451958645,0.015341253325606513,0.015258538648620071,0.015273456993300278,0.015245827695083446,0.015307015450220377,0.01528759793617428,0.015384451362531455,-0.26,-0.26,-0.57,-0.63,-1.07,-1.06,-0.51,-0.64,-0.63,-0.49,-0.39,-0.02
1959,0.011412047884803817,0.012057341030501463,0.01215122360324535,0.008934011118726678,0.007630506892681021,0.014469581901031255,0.0069850750094522795,0.015940016662038325,0.008643134576806521,0.001363891637472254,0.018146688569799212,0.00631336125781582,0.01479150373046317,0.015083556815121033,0.015437976845920335,0.015286783636883761,0.015122460070084262,0.01492783559582654,0.014935618746489715,0.0145874850538063,0.014890397273154677,0.015117881755531372,0.015351015793428416,0.015074741152578487,0.015162288030146824,0.015161806522915395,0.015073297053016618,0.015185113501258053,0.015040625367476189,0.014961279384136005,0.014747191011235953,0.014764118717541005,0.014799707780348231,0.014949055273204778,0.014885618640015011,0.014915046207162112,0.015452904346236461,0.015443971631205674,0.015286276345560125,0.015259354230703905,0.015124831658551744,0.015018395475262203,0.01480449262841058,0.014857504821478056,0.01481380578589794,0.014944618006248226,0.014900013070186903,0.01497832983079613,0.01539313816713011,0.01533096531099187,0.015242509126687565,0.015291399120425092,0.015170676699653272,0.014998814635302796,0.015031193824680131,0.015077030886678063,0.015065403698691925,0.01506303668698055,0.014958489925048305,0.014979316815216005,0.04,0.05,0.28,0.2,-0.17,-0.14,-0.24,-0.2,-0.1,-0.13,-0.22,-0.23
